project,description,version,developers,url,year,licenses,license urls,dependency
Android Support AnimatedVectorDrawable,Android Support AnimatedVectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable-animated:1.1.0
Android Support Library Cursor Adapter,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cursoradapter:cursoradapter:1.0.0
Android Support Library Custom View,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview:1.0.0
Android Support Library Drawer Layout,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.drawerlayout:drawerlayout:1.0.0
Android Support Library Interpolators,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.interpolator:interpolator:1.0.0
Android Support Library loader,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.loader:loader:1.0.0
Android Support Library View Pager,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager:viewpager:1.0.0
Android Support VectorDrawable,Android Support VectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable:1.1.0
Android Tracing,Android Tracing,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/tracing#1.0.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.tracing:tracing:1.0.0
AndroidX Autofill,AndroidX Autofill,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.autofill:autofill:1.0.0
AndroidX Futures,"Androidx implementation of Guava's ListenableFuture",1.1.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.concurrent:concurrent-futures:1.1.0
androidx.customview:poolingcontainer,"Utilities for listening to the lifecycle of containers that manage their child Views' lifecycle, such as RecyclerView",1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/customview#1.0.0,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview-poolingcontainer:1.0.0
androidx.profileinstaller:profileinstaller,Allows libraries to prepopulate ahead of time compilation traces to be read by ART,1.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/profileinstaller#1.3.1,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.profileinstaller:profileinstaller:1.3.1
Annotation,Provides source annotations for tooling and readability.,1.8.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.8.1,2013,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-jvm:1.8.1
atomicfu,AtomicFU utilities,0.25.0,JetBrains Team,https://github.com/Kotlin/kotlinx.atomicfu,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:atomicfu-jvm:0.25.0
collections,Standalone efficient collections.,1.4.2,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/collection#1.4.2,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection-jvm:1.4.2
Collections Kotlin Extensions,"Kotlin extensions for 'collection' artifact",1.4.2,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/collection#1.4.2,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection-ktx:1.4.2
Compose Animation,Compose animation library,1.5.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.5.1,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-android:1.5.1
Compose Animation Core,Animation engine and animation primitives that are the building blocks of the Compose animation library,1.5.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.5.1,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-core-android:1.5.1
Compose Geometry,Compose classes related to dimensions without units,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-geometry-android:1.6.0
Compose Geometry,Compose classes related to dimensions without units,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-geometry-desktop:1.6.0
Compose Graphics,Compose graphics,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-graphics-android:1.6.0
Compose Graphics,Compose graphics,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-graphics-desktop:1.6.0
Compose Layouts,Compose layout implementations,1.5.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.5.1,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-layout-android:1.5.1
Compose Navigation,Compose integration with Navigation,2.7.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.7,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-compose:2.7.7
Compose Runtime,Tree composition support for code generated by the Compose compiler plugin and corresponding public API,1.6.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.6.7,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-android:1.6.7
Compose Runtime,Tree composition support for code generated by the Compose compiler plugin and corresponding public API,1.6.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.6.7,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-desktop:1.6.7
Compose Runtime,Tree composition support for code generated by the Compose compiler plugin and corresponding public API,1.6.10-rc03,Compose Multiplatform Team,https://github.com/JetBrains/compose-jb,2020,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.compose.runtime:runtime-desktop:1.6.10-rc03
Compose Saveable,Compose components that allow saving and restoring the local ui state,1.6.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.6.7,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-saveable-android:1.6.7
Compose Saveable,Compose components that allow saving and restoring the local ui state,1.6.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.6.7,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-saveable-desktop:1.6.7
Compose UI,"Compose UI primitives. This library contains the primitives that form the Compose UI Toolkit, such as drawing, measurement and layout.",1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-android:1.6.0
Compose UI,"Compose UI primitives. This library contains the primitives that form the Compose UI Toolkit, such as drawing, measurement and layout.",1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-desktop:1.6.0
Compose UI Text,Compose Text primitives and utilities,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-text-android:1.6.0
Compose UI Text,Compose Text primitives and utilities,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-text-desktop:1.6.0
Compose Unit,Compose classes for simple units,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit-android:1.6.0
Compose Unit,Compose classes for simple units,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit-desktop:1.6.0
Compose Util,Internal Compose utilities used by other modules,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util-android:1.6.0
Compose Util,Internal Compose utilities used by other modules,1.6.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.6.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util-desktop:1.6.0
Core,Provides backward-compatible implementations of Android platform APIs and features.,1.13.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.13.1,2015,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core:1.13.1
Core Kotlin Extensions,"Kotlin extensions for 'core' artifact",1.13.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.13.1,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core-ktx:1.13.1
Experimental annotation,"Java annotation for use on unstable Android API surfaces. When used in conjunction with the Experimental annotation lint checks, this annotation provides functional parity with Kotlin's Experimental annotation.",1.4.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.4.1,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-experimental:1.4.1
fragment,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.7.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/fragment#1.7.1,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment:1.7.1
Fragment Kotlin Extensions,"Kotlin extensions for 'fragment' artifact",1.7.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/fragment#1.7.1,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment-ktx:1.7.1
Guava ListenableFuture only,"Contains Guava's com.google.common.util.concurrent.ListenableFuture class,
    without any of its other classes -- but is also available in a second
    ""version"" that omits the class to avoid conflicts with the copy in Guava
    itself. The idea is:

    - If users want only ListenableFuture, they depend on listenablefuture-1.0.

    - If users want all of Guava, they depend on guava, which, as of Guava
    27.0, depends on
    listenablefuture-9999.0-empty-to-avoid-conflict-with-guava. The 9999.0-...
    version number is enough for some build systems (notably, Gradle) to select
    that empty artifact over the ""real"" listenablefuture-1.0 -- avoiding a
    conflict with the copy of ListenableFuture in guava itself. If users are
    using an older version of Guava or a build system other than Gradle, they
    may see class conflicts. If so, they can solve them by manually excluding
    the listenablefuture artifact or manually forcing their build systems to
    use 9999.0-....",1.0,,,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.guava:listenablefuture:1.0
JetBrains Java Annotations,A set of annotations used for code inspection support and code documentation.,23.0.0,JetBrains Team,https://github.com/JetBrains/java-annotations,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains:annotations:23.0.0
Kable,Kotlin Asynchronous Bluetooth Low Energy,0.34.0,Travis Wyatt,https://github.com/JuulLabs/kable,2020,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.juul.kable:kable-core-android:0.34.0
Kable,Kotlin Asynchronous Bluetooth Low Energy,0.34.0,Travis Wyatt,https://github.com/JuulLabs/kable,2020,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.juul.kable:kable-exceptions-jvm:0.34.0
Kermit,Kermit The Log,2.0.4,Kevin Galligan,https://github.com/touchlab/Kermit,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,co.touchlab:kermit-android:2.0.4
Kermit,Kermit The Log,2.0.4,Kevin Galligan,https://github.com/touchlab/Kermit,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,co.touchlab:kermit-core-android:2.0.4
Khronicle,Simple and robust Kotlin Multiplatform logging,0.3.0,Cedrick Cooke,https://github.com/JuulLabs/khronicle,2024,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.juul.khronicle:khronicle-core-jvm:0.3.0
Koin,KOIN - Kotlin simple Dependency Injection Framework,3.6.0-Beta4,Arnaud Giuliani,https://insert-koin.io/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.insert-koin:koin-android:3.6.0-Beta4
Koin,KOIN - Kotlin simple Dependency Injection Framework,3.6.0-Beta4,Arnaud Giuliani,https://insert-koin.io/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.insert-koin:koin-androidx-compose:3.6.0-Beta4
Koin,KOIN - Kotlin simple Dependency Injection Framework,1.2.0-Beta4,Arnaud Giuliani,https://insert-koin.io/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.insert-koin:koin-compose-jvm:1.2.0-Beta4
Koin,KOIN - Kotlin simple Dependency Injection Framework,1.2.0-Beta4,Arnaud Giuliani,https://insert-koin.io/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.insert-koin:koin-compose-viewmodel-jvm:1.2.0-Beta4
Koin,KOIN - Kotlin simple Dependency Injection Framework,3.6.0-Beta4,Arnaud Giuliani,https://insert-koin.io/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.insert-koin:koin-core-jvm:3.6.0-Beta4
Kotlin Android Extensions Runtime,Kotlin Android Extensions Runtime,2.0.0,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-android-extensions-runtime:2.0.0
Kotlin Semantic Versioning,"Semantic Versioning library for Kotlin Multiplatform. It implements the full semantic version 2.0.0 specification and provides the ability to parse, compare, and increment semantic versions along with validation against constraints.",2.0.0,Peter Csajtai,https://z4kn4fein.github.io/kotlin-semver,,MIT License,https://raw.githubusercontent.com/z4kn4fein/kotlin-semver/main/LICENSE,io.github.z4kn4fein:semver-jvm:2.0.0
Kotlin Stdlib,Kotlin Standard Library,2.0.20,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib:2.0.20
Kotlin Stdlib Jdk7,Kotlin Standard Library JDK 7 extension,1.9.10,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.9.10
Kotlin Stdlib Jdk8,Kotlin Standard Library JDK 8 extension,1.9.10,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.9.10
kotlinx-collections-immutable,Kotlin Immutable Collections multiplatform library,0.3.7,JetBrains Team,https://github.com/Kotlin/kotlinx.collections.immutable,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-collections-immutable-jvm:0.3.7
kotlinx-coroutines-android,Coroutines support libraries for Kotlin,1.8.1,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-android:1.8.1
kotlinx-coroutines-core,Coroutines support libraries for Kotlin,1.8.1,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.8.1
kotlinx-coroutines-jdk8,Coroutines support libraries for Kotlin,1.8.1,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-jdk8:1.8.1
kotlinx-coroutines-slf4j,Coroutines support libraries for Kotlin,1.8.1,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-slf4j:1.8.1
kotlinx-coroutines-swing,Coroutines support libraries for Kotlin,1.8.0,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-swing:1.8.0
kotlinx-datetime,Kotlin Datetime Library,0.6.0,JetBrains Team,https://github.com/Kotlin/kotlinx-datetime,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-datetime-jvm:0.6.0
kotlinx-serialization-core,Kotlin multiplatform serialization runtime library,1.7.2,JetBrains Team,https://github.com/Kotlin/kotlinx.serialization,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-serialization-core-jvm:1.7.2
kotlinx-serialization-json,Kotlin multiplatform serialization runtime library,1.7.2,JetBrains Team,https://github.com/Kotlin/kotlinx.serialization,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-serialization-json-jvm:1.7.2
ktor-client-auth,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-client-auth-jvm:2.3.12
ktor-client-content-negotiation,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-client-content-negotiation-jvm:2.3.12
ktor-client-core,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-client-core-jvm:2.3.12
ktor-client-logging,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-client-logging-jvm:2.3.12
ktor-client-okhttp,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-client-okhttp-jvm:2.3.12
ktor-events,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-events-jvm:2.3.12
ktor-http,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-http-jvm:2.3.12
ktor-io,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-io-jvm:2.3.12
ktor-serialization,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-serialization-jvm:2.3.12
ktor-serialization-kotlinx,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-serialization-kotlinx-jvm:2.3.12
ktor-serialization-kotlinx-json,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-serialization-kotlinx-json-jvm:2.3.12
ktor-utils,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-utils-jvm:2.3.12
ktor-websocket-serialization,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-websocket-serialization-jvm:2.3.12
ktor-websockets,Ktor is a framework for quickly creating web applications in Kotlin with minimal effort.,2.3.12,JetBrains Team,https://github.com/ktorio/ktor,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.ktor:ktor-websockets-jvm:2.3.12
